Link,Info
https://www.espn.com/nfl/story/_/id/41957638/sources-chiefs-finalizing-trade-titans-wr-deandre-hopkins,"ESPN, NFL, Chiefs Trade for Hopkins"
https://www.espn.com/nfl/story/_/id/42291897/source-nfl-fines-49ers-nick-bosa-wearing-maga-hat,"ESPN, NFL, Nick Bosa Fined for MAGA hat"
https://www.espn.com/nfl/story/_/id/42299526/newest-steelers-smith-williams-expected-make-debut-vs-commanders,"ESPN, NFL, Steelers Debut WIlliams, Smith"
,
,
https://www.espn.com/nfl/story/_/id/42209527/sources-cowboys-trade-4th-rounder-panthers-wr-jonathan-mingo,Dallas Cowboys - trade news for Mingo
https://www.espn.com/nfl/story/_/id/42289925/cowboys-delay-putting-dak-prescott-ir-hamstring-injury,Dallas Cowboys - Prescott IR news
https://www.espn.com/nfl/story/_/id/42237405/sources-cowboys-prescott-likely-longer-4-weeks,Dallas Cowboys - Prescott injury
https://www.espn.com/nfl/story/_/id/42293249/cowboys-lb-micah-parsons-return-4-game-absence,Dallas Cowboys - Parsons returns
https://www.espn.com/nfl/story/_/id/42327757/micah-parsons-feels-bad-zack-martin-cowboys-veterans,Dallas Cowboys - Parsons comments on coach
,
,
https://www.tsn.ca/nba/josh-lewenberg-scottie-barnes-injury-another-hit-to-raptors-early-season-rebuild-efforts-1.2197736,Toronto Raptors (could be biased)
https://www.espn.com/nba/story/_/id/42241715/redick-praises-lebron-rips-others-lack-effort-lakers-loss,Redick praises lebron
https://www.espn.com/nba/story/_/id/41575741/lakers-enjoying-competition-lebron-bronny-practice,"Lakers, competition between Lebron and Bronny"
